rowid;country;station_id;count
178;fr;7cb7986d-2547-ea11-b699-0003ff59987e;1
179;fr;85257550-860a-e811-90cf-0003ff5997e7;1
180;fr;8bb6920d-6651-ea11-b699-0003ff59987e;1
181;fr;a225c816-794b-ea11-b698-0003ff59771b;1
182;fr;a5d8ccd8-4d8c-ea11-99e5-0003ff596d81;1
183;fr;a60d0207-de32-ea11-8454-0003ff599bc1;7
184;fr;bb440862-2947-ea11-b699-0003ff59987e;1
185;fr;c9c6b4f9-df7f-ea11-99e5-0003ff596d81;1
186;fr;d8735632-b746-eb11-8fed-0003ff595f97;1619
187;hu;808bd4d3-a1bb-ea11-bf21-0003ff5982ee;1
188;hu;87b409d8-01df-ea11-bf21-0003ff595f95;1
189;hu;acc543f7-5148-eb11-8fed-0003ff5982ed;1180
190;ie;022e7b36-977c-e911-80e7-0003ff59889d;1689
191;ie;043dda1e-4eb4-e911-b083-0003ff598cc1;1678
192;ie;055a9f79-8b7c-e911-80e7-0003ff59889d;1668
193;ie;07897406-947c-e911-80e7-0003ff59889d;1681
194;ie;07bdf0da-4201-ea11-b862-0003ff59ab13;1678
195;ie;0da84f60-aa7c-e911-80e7-0003ff59889d;1668
196;ie;168b5eb0-4301-ea11-b862-0003ff599e2a;1687
197;ie;1b9fe0ca-8a7c-e911-80e7-0003ff59889d;1686
198;ie;223bffda-3eb4-e911-b083-0003ff59a71f;1677
199;ie;26fa1323-e6cf-ea11-bf21-0003ff59b17b;1
200;ie;27448343;365
201;ie;284c9010-ad00-ea11-b862-0003ff599e2a;1677
202;ie;30605cab-967c-e911-80e7-0003ff59889d;1687
203;ie;327cc40f-ad7c-e911-80e7-0003ff597316;1678
204;ie;3b0b3975-1f62-eb11-8fed-0003ff596d7f;1
205;ie;3d0930df-ae7c-e911-80e7-0003ff59889d;1670
206;ie;414de1da-4001-ea11-b862-0003ff59ab13;1680
207;ie;43b86e3f-8d7c-e911-80e7-0003ff597316;1683
208;ie;4986abb6-b0a3-e911-b083-0003ff598cc1;1684
209;ie;49f2bb28-bb5f-ea11-b698-0003ff599880;1
210;ie;4f3cdddc-3f7c-e811-9ccc-0003ff599983;178
211;ie;51698273-b9de-e911-b3b9-0003ff59a783;1682
212;ie;527ecc0a-39b4-e911-b083-0003ff59a71f;1682
213;ie;52bf2823-447d-e911-80e7-0003ff597316;1679
214;ie;5c1c419b-a57c-e911-80e7-0003ff597316;1679
215;ie;62011199-427d-e911-80e7-0003ff597316;1683
216;ie;62f3f776-937c-e911-80e7-0003ff59889d;1679
217;ie;63cf9db9-897c-e911-80e7-0003ff59889d;1688
218;ie;6827b0ce-a47c-e911-80e7-0003ff597316;1673
219;ie;69be8456-b8de-e911-b3ba-0003ff59b0d7;1675
220;ie;6dd55ed5-ff48-eb11-8fed-0003ff597f34;167
221;ie;6e70c0ca-b17c-e911-80e7-0003ff59889d;1679
222;ie;70369e85-af7c-e911-80e7-0003ff597316;1686
223;ie;75c56e80-b07c-e911-80e7-0003ff597316;1660
224;ie;77501416-afa3-e911-b083-0003ff598cc1;1667
225;ie;77b24a8c-b1de-e911-b3ba-0003ff59b0d7;1673
226;ie;7f4481f8-afa3-e911-b083-0003ff59a71f;1690
227;ie;81899a5d-4fb4-e911-b083-0003ff59a71f;1677
228;ie;851e3fdf-927c-e911-80e7-0003ff59889d;1681
229;ie;8ba85653-b1a3-e911-b083-0003ff59a71f;1681
230;ie;922dbb9c-867c-e911-80e7-0003ff59889d;1685
231;ie;a1649f03-b17c-e911-80e7-0003ff597316;1559
232;ie;a462674c-1d49-eb11-8fed-0003ff5982ed;964
233;ie;b18e2235-5839-eb11-8fed-0003ff5982ed;1638
234;ie;b29f197a-9b0c-eb11-b5d9-0003ff599498;958
235;ie;b7dc65ee-8d7c-e911-80e7-0003ff59889d;1680
236;ie;bb48d388-b0de-e911-b3ba-0003ff59b0d7;1675
237;ie;c16a8838-ae7c-e911-80e7-0003ff597316;1670
238;ie;c21b7530-a900-ea11-b862-0003ff59ab13;1681
239;ie;da599103-957c-e911-80e7-0003ff59889d;1683
240;ie;dc13b455-9e7c-e911-80e7-0003ff59889d;1676
241;ie;e1326e00-b07c-e911-80e7-0003ff59889d;1686
242;ie;f23546fd-ab00-ea11-b862-0003ff599e2a;1686
243;ie;f575809a-2ca3-e911-b083-0003ff598cc1;1669
244;ie;f593419f-ab7c-e911-80e7-0003ff59889d;1681
245;ie;fc6220b9-447d-e911-80e7-0003ff597316;1671
246;ie;fce10052-bade-e911-b3ba-0003ff59b0d7;1671
247;ie;fd8fd58d-947c-e911-80e7-0003ff59889d;1677
248;it;146d60da-a233-ea11-8454-0003ff59ab13;1
249;it;1f916229-9d6f-ea11-99e5-0003ff596d81;1
250;it;24f98108-1e54-ea11-b699-0003ff59987e;1
251;it;338c8eef-8d51-ea11-b699-0003ff59987e;1
252;it;352423d8-fbba-ea11-bf21-0003ff59a56f;2
253;it;4dd78fd0-7f5b-eb11-8fed-0003ff597f34;2
254;it;62b56f48-fd23-ea11-8454-0003ff599bc1;1
255;it;6ed436a3-774b-eb11-8fed-0003ff5982ed;1
256;it;800c58c8-8547-eb11-8fed-0003ff595f97;388
257;it;81e310a4-d078-ea11-99e5-0003ff59b198;1
258;it;852ec894-b50c-eb11-b5d9-0003ff5982ee;1
259;it;9914578d-1346-eb11-8fed-0003ff597f34;2078
260;it;a3619c54-4d6f-ea11-99e5-0003ff59b198;2
261;it;d8adc95c-1be5-ea11-bf21-0003ff595f95;234
262;it;db349fe9-a04a-eb11-8fed-0003ff595f97;376
263;it;ea7f9c7d-7934-ea11-8454-0003ff599bc1;1
264;it;ef200eb5-5989-ea11-99e5-0003ff596d81;693
265;lt;614b9861-781a-eb11-8441-0003ff59786b;2
266;lt;893216001;2
267;lv;03a48016-eb62-ea11-b698-0003ff599880;1
268;nl;0360504a-7de3-e811-a140-0003ff5993a0;1212
269;nl;0773293f-af2c-eb11-8441-0003ff59786b;1
270;nl;0e7e93d1-920e-ea11-b265-0003ff5990ac;626
271;nl;0e8e92b9-ed46-eb11-8fed-0003ff5982ed;1
272;nl;0fb09d8c-3599-ea11-8b71-0003ff59b194;1
273;nl;116def8e-e345-eb11-8fed-0003ff597f34;2015
274;nl;1a12b3d4-f9e9-ea11-b5d9-0003ff599498;1
275;nl;1e6ef537-95c0-ea11-bf21-0003ff59a5e1;1
276;nl;22391d6c-fa49-eb11-8fed-0003ff5982ed;609
277;nl;2887e571-987c-e911-80e7-0003ff59889d;1
278;nl;2a61c55d-d64c-ea11-b699-0003ff59987e;5
279;nl;2c0fa2d1-9b44-eb11-8fed-0003ff595f97;1
280;nl;2c3ff498-2d5a-ea11-b698-0003ff59a029;1
281;nl;318cca45-285f-ea11-b698-0003ff599880;1
282;nl;37fc1da6-9533-ea11-8454-0003ff59ab13;1
283;nl;39546d56-b64a-eb11-8fed-0003ff5982ed;1
284;nl;3d4e6cc1-4256-e911-b048-0003ff59ad54;110
285;nl;3f75ebc1-0abb-ea11-bf21-0003ff5982ee;4
286;nl;40005148-d2bf-e611-9408-0003ff59aed1;3
287;nl;4003cfd3-f84b-ea11-b698-0003ff59771b;19
288;nl;4d22e412-3db3-ea11-bf21-0003ff59a5e1;1
289;nl;4d351498-0947-e811-a822-0003ff596ea9;1
290;nl;51488e86-098e-ea11-99e5-0003ff596d81;4
291;nl;58c1e0bf-df1c-eb11-8441-0003ff597f33;10
292;nl;5e0b5af9-f9e9-ea11-b5d9-0003ff59944a;1
293;nl;60e0f52e-ee0e-eb11-8441-0003ff597a64;1
294;nl;61c8fcf8-062c-eb11-8441-0003ff59786b;1
295;nl;64ba1c21-b129-eb11-8441-0003ff597f33;1
296;nl;662fcf35-6e37-ea11-8454-0003ff599bc1;1
297;nl;66f8948a-a04a-eb11-8fed-0003ff5982ed;392
298;nl;68b3efa5-91bc-e911-b083-0003ff598cc1;1
299;nl;71627371-7bc0-ea11-bf21-0003ff59a56f;1
300;nl;733bb537-14b6-e611-9404-0003ff59b0cc;1382
301;nl;7828ccbc-5958-e811-bd6d-0003ff59b2de;31
302;nl;7b91437b-a9d2-ea11-bf21-0003ff596d81;2
303;nl;7bd7d768-b242-ea11-b698-0003ff59771b;545
304;nl;7c2341b0-04e9-e811-a140-0003ff598dc6;781
305;nl;7c7c2243-a2b1-ea11-8b71-0003ff59a5f8;1
306;nl;7cd48088-2d4b-ea11-b699-0003ff59987e;1
307;nl;7ce11687-07c9-ea11-bf21-0003ff59a78c;1
308;nl;83e7f0a5-09c2-ea11-bf21-0003ff59a5e1;1
309;nl;85940b3c-892d-eb11-8441-0003ff59786b;1
310;nl;8fedfffa-8039-eb11-8fed-0003ff597f34;1
311;nl;918736001;850
312;nl;923726001;451
313;nl;924306001;2
314;nl;935726001;371
315;nl;965486001;16
316;nl;998cf7e1-a596-ea11-8b71-0003ff59a3d6;1
317;nl;9d10713e-514b-eb11-8fed-0003ff595f97;1
318;nl;a3602864-d167-ea11-99e5-0003ff59b16f;1
319;nl;a394dc43-774b-eb11-8fed-0003ff597f34;1
320;nl;a4aa0623-5039-ea11-8454-0003ff59ab13;1
321;nl;a4c34b28-88b7-ea11-bf21-0003ff59a5e1;1
322;nl;abde00e8-7e47-eb11-8fed-0003ff5982ed;837
323;nl;aca82688-cd5f-eb11-8fed-0003ff595f97;1
