SID;lat;lon;elev;name
4200000670;52.8483;6.7532;20;---
4200000672;52.312047;1.436086;27;---
4200000673;50.7435;16.5842;257;---
4200000676;50.4236;-5.053;15;---
4200000677;43.545671;-5.90616;36;---
4200000678;52.396469;0.241417;24;---
4200000680;53.6969669941353;10.7753255939483;19;---
4200000681;45.9073;3.9223;643;---
4200000682;42.07;26.65;206;---
4200000686;64.1729;25.5396;119;---
4200000687;46.009852;12.623463;85;---
4200000688;50.9153;-1.53;21;---
4200000692;54.787189;-4.370843;1;---
4200000694;51.005006;-2.307665;76;---
4200000695;52.4849;6.6514;15;---
4200000696;50.349049;11.181121;369;---
4200000698;50.8966;4.7307;29;---
4200000699;59.165019;10.032554;20;---
4200000700;51.911176;-2.509954;92;---
4200000701;42.7017;0.8444;1306;---
4200000702;37.3804;-6.010914;18;---
4200000703;53.5553;-0.1348;12;---
4200000704;53.322357;-1.47706;162;---
4200000705;50.884274;0.549746;80;---
4200000706;53.1324248011491;-0.0932192878357228;35;---
4200000707;51.015441;0.614025;24;---
4200000708;50.406207;-4.143574;76;---
4200000709;42.712222;-7.955278;654;---
4200000710;51.792;0.6406;15;---
4200000711;50.994;-1.492;45;---
4200000715;51.1286;3.8811;3;---
4200000716;52.2414;-7.1398;33;---
4200000717;51.0312;-3.095684;44;---
4200000719;54.612243;-7.267799;117;---
4200000721;58.992835;5.637703;29;---
4200000722;52.7438;-1.21174;69;---
4200000724;51.8596;-4.2128;29;---
4200000725;51.6098;5.14;10;---
4200000726;52.211079;-0.882726;76;---
4200000728;51.360286;-0.301995;32;---
4200000731;49.578306;13.877869;512;---
4200000732;53.230727;-3.242276;161;---
4200000733;51.2633;-0.833;114;---
4200000734;53.0369;-1.0733;67;---
4200000735;37.621792;15.045538;670;---
4200000736;55.910397;-3.635101;214;---
4200000738;54.588776;-1.291151;13;---
4200000740;52.2009;-1.7084;72;---
4200000741;51.2864;-2.4574;77;---
4200000744;51.083;6.775;45;---
4200000745;51.701228;-2.346465;74;---
4200000746;52.92392;-2.387593;157;---
4200000747;57.363224;-2.253914;91;---
4200000748;51.734196;0.714304;1;---
4200000749;52.1515;0.4385;77;---
4200000750;56.114936;-3.954048;52;---
4200000751;50.871303;-2.964249;142;---
4200000753;53.750742;-0.381533;1;---
4200000754;53.2439;-3.2029;176;---
4200000756;52.57785;1.717451;1;---
4200000758;52.6608;0.9413;58;---
4200000759;51.591653;-0.087852;31;---
4200000760;52.123;-0.389;55;---
4200000761;59.2178;11.0562;19;---
4200000762;50.927032;-2.646289;71;---
4200000763;47.560253;7.610693;259;---
4200000765;51.293724;-0.843262;70;---
4200000766;52.423151;-0.810843;101;---
4200000768;47.8693;7.7172;297;---
4200000769;51.266873;4.293423;1;---
4200000770;50.999;4.6619;11;---
4200000772;51.1208;3.0653;16;---
