;rowid;Site Id;longitude;latitude;IsWithin;CountryId;geometry;elevation;UTC_TimeZone;UTC_OffsetHours;HARP_SID_int
62;85;060dd1d7-9e4a-eb11-8fed-0003ff595f97;-2.6372;53.8236;True;UK;POINT (-2.6372 53.8236);76.0;Europe/London;+00:00;4200000085
63;86;06121559-2d82-ea11-99e5-0003ff59b198;5.9749;51.9609;True;NL;POINT (5.9749 51.9609);10.0;Europe/Amsterdam;+01:00;4200000086
64;87;06197c2b-32b6-e911-b083-0003ff598cc1;0.0062;51.748;True;UK;POINT (0.0062 51.748);55.0;Europe/London;+00:00;4200000087
65;88;06424a2f-4a0c-e811-90cf-0003ff5997e7;-2.37491006773678;52.6612403122037;True;UK;POINT (-2.37491006773678 52.6612403122037);97.0;Europe/London;+00:00;4200000088
66;92;065e6102-333d-eb11-8fed-0003ff597f34;1.9597;41.4206;True;ES;POINT (1.9597 41.4206);258.0;Europe/Madrid;+01:00;4200000092
67;93;066cb48c-0e94-e911-80e7-0003ff59883f;-4.6807;57.684;True;UK;POINT (-4.6807 57.684);243.0;Europe/London;+00:00;4200000093
68;95;06723dbe-31d1-e711-9401-0003ff597480;3.9262;50.9873;True;BE;POINT (3.9262 50.9873);21.0;Europe/Brussels;+01:00;4200000095
69;96;06a45f5f-fcd5-e611-9401-0003ff5987fb;-3.07158917427068;40.9024203211156;True;ES;POINT (-3.07158917427068 40.9024203211156);738.0;Europe/Madrid;+01:00;4200000096
70;98;06ad680b-4159-e811-bd6d-0003ff59b2de;-1.572179;51.410187;True;UK;POINT (-1.572179 51.410187);118.0;Europe/London;+00:00;4200000098
71;101;06de6888-fdd4-ea11-bf21-0003ff59b17b;13.7827;48.3454;True;AT;POINT (13.7827 48.3454);459.0;Europe/Vienna;+01:00;4200000101
72;102;06ebe8fc-2bcb-ea11-bf21-0003ff59a78c;18.0888;59.1128;True;SE;POINT (18.0888 59.1128);33.0;Europe/Stockholm;+01:00;4200000102
73;103;07068d7d-08c8-e911-b083-0003ff59a71f;4.7218;50.8694;True;BE;POINT (4.7218 50.8694);47.0;Europe/Brussels;+01:00;4200000103
74;104;0706ed11-dbcc-ea11-bf22-0003ff59a5e1;4.5332;50.9286;True;BE;POINT (4.5332 50.9286);19.0;Europe/Brussels;+01:00;4200000104
75;110;075dcdaf-8171-e811-9ccb-0003ff59b2da;-1.4296;38.0131;True;ES;POINT (-1.4296 38.0131);261.0;Europe/Madrid;+01:00;4200000110
76;111;07674f32-7682-ea11-99e5-0003ff596d81;11.7987;46.4576;True;IT;POINT (11.7987 46.4576);1725.0;Europe/Rome;+01:00;4200000111
77;112;0773293f-af2c-eb11-8441-0003ff59786b;4.5661;51.8599;True;NL;POINT (4.5661 51.8599);-2.0;Europe/Amsterdam;+01:00;4200000112
78;113;077981d4-2235-ea11-8454-0003ff599bc1;-0.8942;37.8171;True;ES;POINT (-0.8942 37.8171);58.0;Europe/Madrid;+01:00;4200000113
79;114;0781d48f-1ad1-e711-9401-0003ff597480;5.60970780000002;50.5309705;True;BE;POINT (5.60970780000002 50.5309705);225.0;Europe/Brussels;+01:00;4200000114
80;115;07864193-8cfe-ea11-b5d9-0003ff599498;4.3837;48.9363;True;FR;POINT (4.3837 48.9363);86.0;Europe/Paris;+01:00;4200000115
81;116;07897406-947c-e911-80e7-0003ff59889d;-7.1905;52.5248;True;IE;POINT (-7.1905 52.5248);53.0;Europe/Dublin;+00:00;4200000116
82;117;07bb029e-b732-e911-867c-0003ff59862c;18.7803;59.6884;True;SE;POINT (18.7803 59.6884);7.0;Europe/Stockholm;+01:00;4200000117
83;118;07bdf0da-4201-ea11-b862-0003ff59ab13;-8.4934;53.4686;True;IE;POINT (-8.4934 53.4686);75.0;Europe/Dublin;+00:00;4200000118
84;120;07daec74-cbe2-ea11-bf21-0003ff59a78c;5.2554;50.1936;True;BE;POINT (5.2554 50.1936);289.0;Europe/Brussels;+01:00;4200000120
85;121;07ee5119-7a9c-e611-9404-000d3ab1cfb1;4.37820747256274;52.0286405352659;True;NL;POINT (4.37820747256274 52.0286405352659);-2.0;Europe/Amsterdam;+01:00;4200000121
86;122;0800a0de-fb03-eb11-b5d9-0003ff599499;-1.578;53.156;True;UK;POINT (-1.578 53.156);159.0;Europe/London;+00:00;4200000122
87;124;081aae3f-222a-ea11-8454-0003ff599bc1;6.6693;58.2323;True;NO;POINT (6.6693 58.2323);3.0;Europe/Oslo;+01:00;4200000124
88;128;0874dbb9-8282-ea11-99e5-0003ff59b198;-2.2109;52.6333;True;UK;POINT (-2.2109 52.6333);124.0;Europe/London;+00:00;4200000128
89;129;0879aaa3-0189-e911-80e7-0003ff59889d;-2.1081;55.6383;True;UK;POINT (-2.1081 55.6383);76.0;Europe/London;+00:00;4200000129
90;130;088723dc-c78e-ea11-99e5-0003ff596d81;4.3201;51.8294;True;NL;POINT (4.3201 51.8294);-2.0;Europe/Amsterdam;+01:00;4200000130
91;133;08c6b008-a57a-ea11-99e5-0003ff59b198;14.0313;42.3907;True;IT;POINT (14.0313 42.3907);189.0;Europe/Rome;+01:00;4200000133
92;134;08d30180-411b-eb11-8441-0003ff597a64;4.1583;51.8353;True;NL;POINT (4.1583 51.8353);-1.0;Europe/Amsterdam;+01:00;4200000134
93;135;08dd0b4d-4289-ea11-99e5-0003ff59b198;5.3622;52.0623;True;NL;POINT (5.3622 52.0623);9.0;Europe/Amsterdam;+01:00;4200000135
94;136;08e73247-6833-eb11-8441-0003ff59786b;-2.7346;52.0581;True;UK;POINT (-2.7346 52.0581);71.0;Europe/London;+00:00;4200000136
